"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45"
"84" 35 34 45 17 6 6 7 34 6 10 31 34 13 14 6 28 17 13 30 31 13 27 23 43 34 26 27 28 40 30 31 32 6 34 35 45 6 31 10 40 28 17 43 10 45
"85" 35 2 36 4 5 5 7 34 5 10 38 34 13 14 5 16 17 13 19 38 13 22 23 4 25 26 22 28 29 19 38 4 5 34 35 36 5 38 39 29 41 4 4 44 36
"86" 35 34 3 4 5 5 7 34 5 10 31 34 13 14 15 41 43 13 19 31 13 27 23 5 25 26 27 41 29 30 31 43 5 34 35 36 37 31 39 29 41 43 43 44 45
"87" 1 12 36 4 9 6 7 12 9 10 38 12 13 14 9 28 4 13 30 38 21 27 23 32 25 26 27 28 29 30 38 32 9 34 1 36 9 38 39 29 28 4 4 44 36
"88" 35 2 45 4 9 9 7 12 9 10 31 12 21 23 15 41 15 21 30 31 21 27 23 15 25 26 27 41 29 30 31 9 9 2 35 45 9 31 12 40 41 15 9 44 45
"89" 1 8 36 17 17 17 7 8 17 10 38 34 21 14 15 28 17 21 30 38 21 27 23 17 34 26 27 28 29 30 38 17 33 34 1 36 17 38 39 17 41 17 17 44 36
"90" 1 2 36 37 37 37 7 2 9 10 11 2 18 14 33 28 37 18 30 20 21 27 23 37 25 26 27 28 29 30 11 37 33 2 35 36 37 38 39 29 28 37 37 44 36
"91" 1 2 45 37 37 37 7 8 37 10 31 34 18 14 37 41 37 18 19 31 18 22 1 24 25 26 27 28 29 30 31 37 33 34 35 45 37 31 39 29 41 42 37 44 45
"92" 1 12 45 4 43 4 7 12 4 10 20 12 21 14 15 41 17 21 30 20 21 27 23 24 25 26 27 41 29 30 31 4 33 34 1 45 4 20 39 29 41 24 43 44 45
"93" 1 8 45 43 5 5 7 8 43 10 31 12 21 14 43 16 43 18 30 20 21 22 23 24 25 26 27 16 40 30 31 5 24 8 1 45 43 31 39 40 16 43 43 44 45
"94" 1 2 3 32 5 9 7 2 9 10 11 2 18 14 15 28 32 18 19 31 18 27 23 24 25 26 27 28 29 30 31 32 24 2 1 3 37 11 39 29 41 43 43 44 3
"95" 35 2 3 6 6 6 7 8 6 10 11 2 18 14 6 16 17 18 19 11 18 22 23 6 25 26 27 28 40 19 11 6 33 2 35 3 6 11 39 40 16 6 43 44 45
"96" 1 8 45 6 6 6 7 8 6 10 31 8 13 14 6 41 6 13 30 31 13 27 23 24 25 26 27 41 29 30 31 6 33 8 1 45 6 31 39 29 41 6 6 44 45
"97" 1 2 3 5 5 6 7 2 5 10 11 2 18 14 5 28 6 18 19 20 18 22 23 5 25 26 22 28 29 30 20 5 33 2 35 3 5 20 39 40 28 6 6 44 3
"98" 23 12 36 9 9 9 7 8 9 10 31 12 13 23 9 16 9 21 19 31 21 22 23 9 25 26 22 41 29 19 31 9 9 12 23 36 9 38 12 29 41 9 43 44 45
"99" 1 2 28 9 5 9 7 2 9 10 20 34 18 7 5 20 20 18 9 20 18 27 23 9 7 29 27 28 29 9 28 9 33 34 1 28 9 20 10 27 41 9 27 10 27
"100" 1 34 3 5 5 6 7 34 9 10 31 12 13 14 6 41 43 13 30 31 13 27 23 5 25 26 27 41 29 30 31 5 9 34 1 3 5 31 39 40 41 5 43 44 3
